speaker,segment,repetition,frame,coord,point,mm
2,ch,1,1,x,1,169.149
2,ch,1,1,x,2,170.031
2,ch,1,1,x,3,170.912
2,ch,1,1,x,4,171.793
2,ch,1,1,x,5,172.675
2,ch,1,1,x,6,173.55599999999998
2,ch,1,1,x,7,174.441
2,ch,1,1,x,8,175.322
2,ch,1,1,x,9,176.204
2,ch,1,1,x,10,177.08499999999998
2,ch,1,1,x,11,177.96699999999998
2,ch,1,1,x,12,178.848
2,ch,1,1,x,13,179.72899999999998
2,ch,1,1,x,14,180.611
2,ch,1,1,x,15,181.49200000000002
2,ch,1,1,x,16,182.374
2,ch,1,1,x,17,183.255
2,ch,1,1,x,18,184.14
2,ch,1,1,x,19,185.02100000000002
2,ch,1,1,x,20,185.90300000000002
2,ch,1,1,x,21,186.784
2,ch,1,1,x,22,187.66500000000002
2,ch,1,1,x,23,188.547
2,ch,1,1,x,24,189.428
2,ch,1,1,x,25,190.31
2,ch,1,1,x,26,191.191
2,ch,1,1,x,27,192.072
2,ch,1,1,x,28,192.954
2,ch,1,1,x,29,193.839
2,ch,1,1,x,30,194.72
2,ch,1,1,x,31,195.601
2,ch,1,1,x,32,196.483
2,ch,1,1,x,33,197.364
2,ch,1,1,x,34,198.24599999999998
2,ch,1,1,x,35,199.127
2,ch,1,1,x,36,200.01
2,ch,1,1,x,37,200.89
2,ch,1,1,x,38,201.76999999999998
2,ch,1,1,x,39,202.65
2,ch,1,1,x,40,203.54000000000002
2,ch,1,1,x,41,204.42000000000002
2,ch,1,1,x,42,205.3
2,ch,1,1,x,43,206.18
2,ch,1,1,x,44,207.06
2,ch,1,1,x,45,207.94
2,ch,1,1,x,46,208.82999999999998
2,ch,1,1,x,47,209.70999999999998
2,ch,1,1,x,48,210.59
2,ch,1,1,x,49,211.47
2,ch,1,1,x,50,212.35
2,ch,1,1,x,51,213.24
2,ch,1,1,x,52,214.12
2,ch,1,1,x,53,215
2,ch,1,1,x,54,215.88
2,ch,1,1,x,55,216.76
2,ch,1,1,x,56,217.64
2,ch,1,1,x,57,218.51999999999998
2,ch,1,1,x,58,219.41
2,ch,1,1,x,59,220.29000000000002
2,ch,1,1,x,60,221.17000000000002
2,ch,1,1,x,61,222.05
2,ch,1,1,x,62,222.93
2,ch,1,1,x,63,223.82
2,ch,1,1,x,64,224.7
2,ch,1,1,x,65,225.57999999999998
2,ch,1,1,x,66,226.45999999999998
2,ch,1,1,x,67,227.34
2,ch,1,1,x,68,228.22
2,ch,1,1,x,69,229.1
2,ch,1,1,x,70,229.99
2,ch,1,1,x,71,230.87
2,ch,1,1,x,72,231.75
2,ch,1,1,x,73,232.63
2,ch,1,1,x,74,233.52
2,ch,1,1,x,75,234.4
2,ch,1,1,x,76,235.28
2,ch,1,1,x,77,236.16
2,ch,1,1,x,78,237.04
2,ch,1,1,x,79,237.92
2,ch,1,1,x,80,238.8
2,ch,1,1,x,81,239.68
2,ch,1,1,x,82,240.57
2,ch,1,1,x,83,241.45
2,ch,1,1,x,84,242.33
2,ch,1,1,x,85,243.21
2,ch,1,1,x,86,244.1
2,ch,1,1,x,87,244.98
2,ch,1,1,x,88,245.86
2,ch,1,1,x,89,246.74
2,ch,1,1,x,90,247.62
2,ch,1,1,x,91,248.5
2,ch,1,1,x,92,249.38
2,ch,1,1,x,93,250.27
2,ch,1,1,x,94,251.15
2,ch,1,1,x,95,252.03
2,ch,1,1,x,96,252.91
2,ch,1,1,x,97,253.79
2,ch,1,1,x,98,254.68
2,ch,1,1,x,99,255.56
2,ch,1,1,x,100,256.44
2,ch,1,1,y,1,133.71300000000002
2,ch,1,1,y,2,132.58100000000002
2,ch,1,1,y,3,130.82100000000003
2,ch,1,1,y,4,128.89900000000003
2,ch,1,1,y,5,127.08900000000003
2,ch,1,1,y,6,125.46500000000003
2,ch,1,1,y,7,123.99700000000001
2,ch,1,1,y,8,122.63400000000001
2,ch,1,1,y,9,121.34600000000003
2,ch,1,1,y,10,120.14600000000002
2,ch,1,1,y,11,119.04800000000003
2,ch,1,1,y,12,118.04400000000004
2,ch,1,1,y,13,117.13900000000004
2,ch,1,1,y,14,116.30900000000003
2,ch,1,1,y,15,115.55300000000003
2,ch,1,1,y,16,114.86100000000005
2,ch,1,1,y,17,114.23000000000002
2,ch,1,1,y,18,113.65100000000004
2,ch,1,1,y,19,113.13600000000002
2,ch,1,1,y,20,112.67400000000004
2,ch,1,1,y,21,112.27400000000003
2,ch,1,1,y,22,111.94600000000003
2,ch,1,1,y,23,111.67100000000005
2,ch,1,1,y,24,111.43700000000001
2,ch,1,1,y,25,111.24100000000004
2,ch,1,1,y,26,111.07100000000003
2,ch,1,1,y,27,110.90800000000002
2,ch,1,1,y,28,110.73900000000003
2,ch,1,1,y,29,110.54600000000005
2,ch,1,1,y,30,110.33500000000004
2,ch,1,1,y,31,110.11500000000004
2,ch,1,1,y,32,109.88800000000003
2,ch,1,1,y,33,109.66100000000003
2,ch,1,1,y,34,109.44000000000003
2,ch,1,1,y,35,109.23400000000004
2,ch,1,1,y,36,109.05100000000004
2,ch,1,1,y,37,108.88400000000001
2,ch,1,1,y,38,108.72900000000004
2,ch,1,1,y,39,108.57900000000004
2,ch,1,1,y,40,108.43400000000003
2,ch,1,1,y,41,108.28800000000001
2,ch,1,1,y,42,108.15200000000004
2,ch,1,1,y,43,108.02700000000004
2,ch,1,1,y,44,107.91500000000002
2,ch,1,1,y,45,107.82000000000005
2,ch,1,1,y,46,107.74900000000002
2,ch,1,1,y,47,107.70100000000002
2,ch,1,1,y,48,107.68800000000005
2,ch,1,1,y,49,107.70100000000002
